LocusTag	Gene	Length
new_663937_664318	S219	382
BSU15400	ylmG	270
BSU24840	yqgS	1914
BSU37140	ywjG	519
BSU07380	yfmQ	444
BSU27550	aspS	1776
BSU39100	yxiO	1284
BSU15700	yloI	1218
BSU08580	yfhL	330
new_3715928_3716008_c	S1386	81
new_2707760_2708174_c	S987	415
BSU28040	radC	693
BSU07670	yflI	153
new_3145997_3146088_c	S1174	92
new_3032910_3033040	S1131	131
BSU01260	rplN	366
BSU11280	yjaU	732
new_2031115_2031202_c	S694	88
BSU38850	yxkC	639
BSU30910	cotSA	1131
BSU19639	yoyE	123
BSU32920	yusT	885
BSU10700	gerPC	615
new_3317409_3317473	S1247	65
BSU24220	spo0A	801
new_2982270_2982476_c	S1101	207
BSU11500	spx	393
BSU29480	ytxK	987
new_4031646_4031766_c	S1512	121
BSU20760	yopU	195
BSU21830	ypjQ	531
BSU06010	ydiL	732
BSU16300	fliL	420
BSU_tRNA_54	trnB-Lys	
new_2185422_2185503_c	S772	82
BSU37710	bacD	1416
BSU07880	yfkJ	468
BSU14770	ylaG	1836
new_235403_235489_c	S83	87
new_549923_550239_c	S175	317
BSU31930	ald	1134
new_1147493_1148466_c	S379	974
BSU30160	ytcQ	1467
BSU38450	dtrR	513
new_3998237_3998480_c	S1498	244
BSU38080	ywcI	300
new_1401697_1401771	S478	75
BSU_tRNA_74	trnSL-Gln2	
BSU10260	yhfK	642
new_2307814_2307904	S828	91
BSU16920	pgsA	579
BSU12030	yjdF	480
BSU06980	rhiF	927
new_1550794_1551384	S540	591
BSU03330	nasA	1263
new_2456809_2456888_c	S893	80
BSU02380	ybgB	273
BSU07330	yfnB	705
new_2432916_2433315_c	S884	400
BSU09660	yheN	846
BSU14650	yktB	636
BSU04980	yddI	504
BSU06770	yeeB	1794
BSU25490	hrcA	1029
BSU04660	ndoA	348
BSU16320	fliY	1134
BSU32450	pucL	1482
BSU06150	gutB	1059
BSU26470	yrkL	522
BSU34990	lgt	807
BSU07810	treA	1683
BSU14960	ylbC	1038
BSU32330	lipA	894
BSU08090	acoL	1374
BSU16330	cheY	360
new_3996731_3996828	S1497	98
BSU01380	map	744
BSU14600	pdhC	1326
BSU24120	mmgF	903
BSU12270	yjlB	495
BSU27500	trmU	1122
BSU14430	ykpA	1620
BSU10550	ntdA	1323
BSU09600	yhdU	354
BSU36190	ywqJ	1806
new_1744182_1744236	S597	55
BSU04990	yddJ	378
new_1289139_1289257	S446	119
BSU38540	dltE	756
BSU13070	bstF	525
BSU12619	ykzL	381
BSU23510	ripX	888
new_257545_257726	S90	182
BSU11430	oppA	1635
BSU23650	yqkC	237
BSU05940	tsaD	1038
new_3823159_3823531_c	S1447	373
BSU24450	efp	555
BSU38620	aag	588
BSU19630	deoD	699
BSU14700	nprE	1563
BSU26960	yraF	366
BSU20810	yopP	1074
BSU25470	dnaK	1833
BSU40010	yxaD	429
BSU06350	yebA	1965
BSU28330	ysnE	453
BSU20100	yosJ	192
new_3346117_3347050_c	S1254	934
new_1921866_1922524_c	S661	659
BSU28540	fadB	774
new_4053373_4053453_c	S1519	81
BSU04070	ycsI	789
BSU38860	galE	1017
BSU27250	mccB	1137
BSU29840	ytpP	321
BSU20570	yoqN	216
BSU04190	ydaD	858
BSU32440	pucK	1290
BSU15380	ylmE	690
BSU25770	spoIVCA	1500
BSU30440	ytrC	984
BSU12650	xkdK	1392
BSU00290	darA	327
BSU23402	spoVAEB	348
BSU22869	ypzI	135
new_1943983_1944112_c	S676	130
BSU06074	ydzW/2	126
BSU16299	swrD	213
BSU09420	lytE	1029
BSU07080	yesZ	1989
BSU06280	ydjP	813
new_3261938_3262008_c	S1219	71
BSU18899	yozX	222
new_2340762_2341218_c	S845	457
new_2377495_2377626_c	S857	132
BSU11360	appD	984
BSU_tRNA_2	trnY-Asp	
BSU18400	yoeD	228
BSU05680	ydgK	1206
BSU36550	spoIIQ	849
new_2866605_2866663_c	S1060	59
BSU08310	lnrL	933
new_2574324_2574407_c	S934	84
new_3847279_3847347	S1451	69
BSU36780	ywzB	228
BSU13550	mtnA	1059
new_2212521_2213082_c	S788	562
BSU14820	ylaL	483
BSU11040	yitM	582
new_2778574_2778790_c	S1024	217
BSU11520	mecA	654
BSU19280	yocN	231
new_3666508_3667599	S1363	1092
BSU28140	hemD	786
BSU_tRNA_17	trnJ-Leu2	
BSU11320	yjzB	237
new_2518877_2519029_c	S914	153
BSU04960	conG	2445
BSU35800	gerBA	1446
BSU25260	glyS	2037
BSU13610	mtnB	627
BSU14569	ykzV	156
BSU24460	papA	1059
new_1569427_1569518	S549	92
new_3790498_3790582_c	S1428	85
BSU34460	levB	1548
BSU40690	yybC	477
BSU22520	ypjB	792
new_9529_9614	S7	86
BSU25289	yqzL	141
BSU07320	yfnC	1227
BSU_rRNA_12	rrnE-23S	
BSU22480	mgsA	411
BSU00300	yaaR	438
BSU26600	bltD	456
BSU21040	yonO	2517
new_3906104_3907171	S1466	1068
BSU04840	ydcO	258
BSU22900	ypfB	174
BSU09340	yhdA	522
new_2730921_2731106_c	S1002	186
BSU_misc_RNA_28	BSU_misc_RNA_28	
BSU16480	swrB	501
BSU13280	ykoJ	510
BSU02560	ycbM	474
BSU02520	ycbJ	918
BSU13830	ykvU	1335
BSU08460	yfhA	1029
BSU16020	rimM	522
new_3028207_3028296	S1124	90
BSU38490	menA	933
BSU36140	ywqO	219
BSU17678	ynzJ	123
BSU32130	guaC	978
BSU29360	tcyL	717
new_3905066_3905130_c	S1465	65
BSU05870	gmuF	945
BSU27010	adhA	1047
new_1414827_1414907_c	S482	81
BSU04360	mntH	1275
BSU02460	ycbC	924
BSU02530	rtpA	159
new_1228135_1228924	S410	790
BSU36000	alsD	765
BSU38780	yxkI	1686
new_45524_45632	S24	109
BSU00450	sspF	183
new_2043933_2044037	S702	105
new_746000_747189	S244	1190
	fbpA	159
new_2464120_2464226_c	S898	107
BSU23790	yqjP	957
BSU32120	yuzG	138
BSU26160	yqbC	651
new_1056384_1056537	S345	154
new_2635740_2635814	S961	75
BSU39270	bglP	1827
BSU26850	yrpG	948
BSU12800	xhlB	261
BSU25200	sigA	1113
new_2221639_2221791	S796	153
new_2333056_2333210_c	S839	155
BSU25570	comEC	2328
BSU27230	yrhD	480
new_2925027_2925099_c	S1080	73
new_2483514_2483788_c	S905	275
BSU38200	galK	1170
new_946423_946695	S304	273
BSU07390	yfmP	420
BSU19150	yocB	780
new_1569001_1569224_c	S546	224
new_4086646_4086801	S1529	156
new_2609894_2610040_c	S957	147
new_2787066_2787129_c	S1033	64
BSU05110	ydeA	591
BSU28390	racE	816
new_1673515_1673619	S579	105
new_339879_339987	S112	109
BSU02490	ycbF	1365
new_1863194_1863382	S619	189
BSU25510	lepA	1836
new_3060674_3060844	S1147	171
BSU00510	prs	951
BSU18560	yoaD	1032
BSU_rRNA_14	rrnI-23S	
BSU16630	infB	2148
new_2897469_2897599_c	S1073	131
BSU06240	bdhA	1038
BSU35310	hpf	567
new_1879781_1880041	S625	261
new_3361112_3361196_c	S1259	85
BSU27540	yrvM	762
BSU27990	minD	804
new_1219686_1219848	S406	163
BSU02780	ycdA	1062
new_3231069_3231811_c	S1205	743
new_2410590_2410694_c	S875	105
BSU12610	xkdG	933
new_2288652_2289883	S818	1232
BSU16980	spoVS	258
BSU25420	yqeW	930
BSU28780	araD	687
new_4065569_4065980_c	S1521	412
BSU33880	yvbJ	1815
BSU28680	glcD	1410
BSU37930	ywdK	339
BSU05260	ydeN	570
BSU09270	glpP	576
BSU08300	lnrK	660
BSU21690	msrA	531
BSU09670	dat	846
BSU19830	yotM	585
new_3999273_3999349	S1499	77
BSU11470	oppF	915
BSU40880	exoA	756
new_3457942_3458026	S1288	85
BSU37890	spsC	1167
BSU27610	apt	510
new_519083_519559_c	S163	477
BSU11580	yjbK	570
BSU11030	yitL	894
BSU15170	spoVD	1935
BSU31770	yueI	396
BSU15350	ylmB	1278
BSU23470	spoIIAA	351
BSU39210	yxiF	468
BSU14690	yktD	912
new_887222_887809	S283	588
BSU19700	yodP	825
BSU19100	yobV	939
BSU38260	efeB	1248
BSU25230	yqxD	588
BSU14230	ahpT	459
BSU32859	yuzM	243
new_2057588_2058714_c	S712	1127
new_1413790_1414949	S481	1160
BSU35160	uvrA	2871
new_3760558_3760693	S1407	136
new_2203597_2203983_c	S782	387
BSU09770	yheD	1359
BSU_tRNA_19	trnJ-Pro	
BSU39440	yxxB	867
new_4154404_4154500_c	S1552	97
BSU05790	ydhK	615
new_4186449_4186607	S1572	159
new_88050_89566_c	S41	1517
BSU08779	ygzC	270
BSU06820	yeeG	1095
BSU18370	yoeA	1389
BSU_misc_RNA_34	BSU_misc_RNA_34	
BSU03420	nin	396
BSU20900	yopG	129
BSU03560	ycxD	1332
BSU26250	yqaN	426
BSU36770	spoIIT	738
BSU24650	yqzG	324
BSU02940	yceH	1089
new_3119240_3119484_c	S1162	245
BSU30940	glgP	2394
BSU34470	yveA	1560
BSU30000	ythQ	1155
new_3178641_3178932_c	S1181	292
BSU37210	ywjC	270
BSU12320	yjmC	1011
new_2216815_2217132_c	S793	318
new_1482096_1482247	S511	152
new_984466_984593_c	S315	128
BSU25120	yqfT	252
new_1494737_1495461	S520	725
BSU19400	yojM	588
BSU40310	phrG	114
BSU25000	pbpA	2148
BSU19370	odhA	2823
BSU20710	yopZ	201
new_957688_958613	S308	926
new_3443530_3443612_c	S1283	83
BSU_tRNA_8	trnA-Ile	
BSU17380	nrdE	2100
new_3574158_3574245_c	S1324	88
BSU06180	pspA	681
BSU32550	yurJ	1101
BSU05740	phoB	1386
BSU04090	pxpC	1011
new_4106138_4106244_c	S1536	107
BSU20190	yosA	117
BSU12749	xkzA	270
BSU05160	ydeD	957
BSU39940	yxaL	1230
BSU38280	efeU	1443
BSU29070	ytaF	477
BSU29420	ytkK	765
BSU29790	murC	1296
BSU25080	yqfX	387
new_2647113_2647674_c	S965	562
BSU08720	ygaF	471
new_2263262_2263488	S806	227
BSU33670	yvaO	417
new_1492169_1492260	S519	92
BSU30770	mntA	918
BSU03490	srfAB	10761
BSU03880	yczG	312
BSU09730	yheG	618
new_3842651_3843000_c	S1449	350
BSU15600	cysC	591
BSU19850	yotK	183
BSU09965	yhaJ	516
BSU25130	nfo	891
BSU22740	hepT	1044
BSU15320	sigE	717
BSU31900	yukD	237
BSU23200	ypuI	537
new_1767136_1767309	S607	174
new_209557_209632	S74	76
BSU40574	yyzJ	162
new_3340938_3341024_c	S1253	87
new_706872_706972	S232	101
BSU_tRNA_63	trnB-Ser1	
BSU29300	ribR	690
BSU15720	defA	480
BSU29730	motP	816
BSU34850	yvcA	723
BSU29090	polA	2640
BSU01730	sigW	561
BSU11928	yjzF	129
BSU27170	fatR	582
BSU16730	spoVFA	891
BSU32070	yuiC	654
BSU24140	mmgD	1116
new_2190663_2191625	S773	963
BSU09240	yhcW	660
BSU30610	ytlC	780
BSU13450	sigI	753
new_3913514_3913645_c	S1469	132
BSU07460	yfmI	1218
BSU23280	ribD	1083
BSU28950	thrS	1929
BSU33310	fhuB	1152
BSU09910	yhaO	1224
BSU02180	ybfE	282
BSU33990	yvbU	876
BSU37660	pta	969
new_506502_506670_c	S153	169
BSU12230	yjjA	810
BSU01550	gerD	555
BSU14200	ykuS	243
BSU05450	ydfK	687
BSU28090	valS	2640
BSU20510	yoqU	411
BSU_rRNA_18	rrnD-5S	
	rrcM	
BSU14530	rnjA	1665
BSU23670	yqkA	1029
BSU21720	ypmT	192
BSU28960	ytxC	843
BSU31420	yugF	819
new_1229850_1229914	S413	65
new_1264932_1265017_c	S432	86
BSU11540	pepF	1827
new_3153832_3153982_c	S1177	151
BSU22210	yprB	1239
BSU_tRNA_58	trnB-Arg	
BSU08910	queG	1305
BSU16080	ylqH	279
new_3224826_3225137_c	S1200	312
BSU25520	yqxA	336
new_2930783_2931047	S1082	265
new_1159082_1159149	S388	68
BSU18470	proJ	1113
BSU37740	bacA	612
BSU33730	opuBA	1143
BSU17250	ymaE	696
new_4094722_4095322_c	S1533	601
BSU39790	yxcE	648
BSU03320	nasB	2310
new_2854560_2854625_c	S1058	66
BSU33780	sdpI	621
BSU05280	ydeO	870
new_1695136_1695253	S585	118
BSU20880	yopI	531
new_1484357_1484465	S515	109
BSU31890	yukC	1353
BSU21050	yonN	276
BSU16240	fliI	1320
BSU24920	yqgL	468
BSU19790	cgeB	951
BSU00520	ctc	612
BSU05040	yddN	1017
BSU16510	pyrH	720
BSU20260	yorT	117
BSU17200	pksM	12786
BSU30120	yteR	1119
BSU14470	mreBH	1005
new_1535752_1535847_c	S535	96
new_135170_135363	S55	194
BSU21940	degR	180
BSU15030	spoVV	1224
BSU31720	degQ	138
BSU17340	hfq	219
new_3049503_3049699_c	S1142	197
new_3276435_3276513_c	S1226	79
BSU11330	fabHA	936
BSU34240	epsM	648
new_3305322_3305430_c	S1242	109
new_1032054_1034008	S331	1955
new_2887590_2887779_c	S1069	190
new_1782643_1782712	S614	70
BSU16120	topA	2073
new_4194210_4195441_c	S1573	1232
BSU32560	frlR	726
new_3744322_3745406_c	S1402	1085
BSU36910	ywlG	540
new_3913898_3914008	S1470	111
BSU07290	yfnF	909
BSU26090	yqbJ	435
new_2699244_2699382	S983	139
BSU23040	fer	246
BSU38840	yxkD	834
BSU_rRNA_30	rrnE-16S	
BSU15290	ftsZ	1146
BSU07710	ltaS	1947
BSU27630	yrvD	321
BSU25980	yqbT	1044
new_3786458_3786619_c	S1425	162
BSU40570	yybO	1305
BSU11010	yitJ	1836
BSU10270	lcfB	1539
BSU27370	yrrL	1080
new_2904537_2904679_c	S1075	143
new_840528_841664_c	S268	1137
BSU25360	yqfC	279
BSU06370	pbuG	1320
BSU24730	comGA	1068
new_2908738_2908833_c	S1076	96
new_3873771_3874382	S1459	612
new_2208373_2208745	S784	373
BSU11230	carA	1059
BSU27310	pbpI	1752
new_335729_336091_c	S109	363
BSU16270	fliK	1287
new_3604923_3604992	S1337	70
new_1949513_1949584_c	S678	72
BSU39160	yxiI	486
BSU39390	hutM	1425
new_1090331_1090400	S358	70
BSU40578	yyzK	144
BSU16660	truB	927
BSU03440	tlpC	1719
BSU03530	ycxA	1227
new_2951898_2952204	S1088	307
BSU04790	ydcK	450
new_2517757_2517885_c	S913	129
BSU06036	ydzT/3	126
new_3555807_3555901_c	S1320	95
new_367293_368962	S121	1670
BSU23230	ypuF	522
BSU32000	dhbA	783
BSU31800	yueF	1107
BSU13590	mtnW	1242
BSU36500	ywoB	462
BSU32150	paiA	516
BSU_rRNA_21	rrnB-5S	
BSU24960	pstBA	807
BSU38810	msmX	1095
BSU_tRNA_18	trnJ-Arg	
BSU08425	mprF	2568
BSU19490	gerT	471
BSU38640	yxlH	1200
BSU15910	fabG	738
new_3263786_3264226_c	S1221	441
BSU09500	yhdK	288
new_3045221_3045329_c	S1139	109
BSU16845	ymfF	1278
BSU29770	ytxH	456
BSU23030	ypbB	1056
BSU23850	zwf	1467
BSU19560	mhqD	600
BSU01010	nusG	531
new_1640646_1640719	S571	74
BSU05510	ydfQ	336
BSU05820	gmuA	330
new_4068171_4068967	S1523	797
BSU14460	ykpC	132
BSU23750	yqjT	384
BSU39630	yxdM	1866
BSU29980	ytjP	1389
BSU18690	yoaP	753
new_495406_495699_c	S148	294
new_2882791_2882902_c	S1066	112
new_2349590_2349664	S849	75
new_671929_671993	S221	65
new_1439340_1439447	S494	108
BSU_tRNA_40	trnD-Gln	
BSU06450	purC	723
new_3420519_3421486	S1279	968
BSU22850	seaA	891
BSU24480	yqhR	534
BSU06038	ydzT/5	303
new_600907_601740_c	S195	834
new_1348200_1348403_c	spoIISC	204
new_3979408_3979516_c	S1487	109
BSU01030	rplA	696
BSU18450	gltA	4560
new_2798090_2798150_c	S1039	61
new_2826743_2826818_c	S1046	76
new_3733968_3734142_c	S1397	175
new_4215437_4215505_c	S1582	69
new_2715533_2715718_c	S996	186
BSU29220	ytsJ	1230
BSU_tRNA_6	trnO-Ala	
BSU05220	ydeJ	657
BSU03350	yciB	582
BSU38230	ywcB	306
BSU12560	xpf	507
BSU14590	pdhB	975
BSU10900	yisY	804
BSU26400	yrkS	162
BSU38499	ywzH	147
BSU36230	ugd	1320
BSU32880	mdtP	1623
BSU06077	ydzW/4	141
BSU32719	yuzK	135
BSU26610	yrkA	1302
BSU35470	comFA	1389
BSU39180	yxiH	327
BSU06079	ydzW/6	117
BSU27940	rpmA	282
new_2576155_2576328	S935	174
new_514779_515106	S160	328
new_1747032_1747122	S600	91
BSU34700	psdA	777
BSU30640	ytkC	402
new_2078548_2079183_c	S726	636
BSU36380	rapD	1062
BSU06319	ydzX	285
BSU04240	ydzA	288
BSU19820	sprB	174
BSU27430	glnQ	726
BSU33150	yvqK	579
new_1442102_1442346_c	S496	245
new_3614978_3615063_c	S1342	86
new_935578_935655	S297	78
new_598659_598728	S191	70
BSU18660	yoaM	681
BSU19920	yotD	129
BSU11900	yjcL	1188
BSU20070	yosM	387
new_3307598_3308367	S1243	770
BSU21740	ypmR	765
BSU13300	mgtE	1353
BSU03820	fpbP	756
BSU39990	qdoR	573
BSU00670	tilS	1416
new_2972164_2972328_c	S1096	165
new_3021090_3021169_c	S1121	80
BSU03400	yckD	330
BSU11770	cotW	315
BSU00350	yazA	297
BSU32840	fadN	2445
new_3528204_3528263_c	S1312	60
new_159149_159778_c	S62	630
BSU04800	int	1104
new_1933162_1933476	S672	315
BSU21598	yoyK/1	237
BSU06790	yeeD	303
BSU07420	yfmM	1554
new_1211286_1211370	S402	85
BSU30010	ythP	708
new_3034935_3035530	S1133	596
BSU01900	ybcM	312
BSU11650	tenA	708
BSU38090	vpr	2418
BSU12260	yjlA	972
BSU05560	ydgA	240
BSU30100	yteT	1284
BSU29560	ytcI	1593
new_261536_261647_c	S93	112
BSU09810	yhaZ	1071
BSU36430	usd	108
BSU18908	yozY	258
BSU29260	ytpI	300
BSU35330	fliS	399
BSU09510	yhdL	1074
new_3708133_3708785	S1384	653
BSU38170	qoxA	963
BSU37450	ywhK	1353
new_3258062_3259375	S1218	1314
BSU20340	yorL	3915
BSU27530	rarA	1263
BSU22680	trpE	1545
new_3361198_3361304_c	S1260	107
BSU_tRNA_71	trnB-Ser2	
new_3590364_3590602	S1333	239
BSU36720	ywmE	159
BSU40040	yxaA	1146
new_4005137_4005322_c	S1501	186
new_35104_35236	S20	133
BSU13010	ykgB	1047
BSU24500	yqhP	393
BSU36820	atpG	861
BSU23140	resB	1626
BSU35640	lytA	306
new_4134916_4134995_c	S1548	80
new_35356_35458	S21	103
BSU25070	ispG	1131
BSU21110	yonF	1767
new_500046_500120	S150	75
BSU01240	rpmC	198
BSU36070	cotG	585
BSU_rRNA_24	rrnH-5S	
BSU28050	maf	567
BSU23560	mleN	1404
BSU_tRNA_33	trnD-Met	
BSU28300	ilvH	522
BSU33080	liaR	633
BSU10630	addA	3696
BSU02600	cwlJ	426
BSU05050	lrpA	408
BSU06950	yesM	1731
new_176316_176924	S65	609
BSU_tRNA_16	trnJ-Gly	
new_486278_486431	S142	154
BSU31270	tgl	735
new_2053930_2054039_c	S707	110
BSU37550	ywhA	417
new_1035257_1035395	S332	139
BSU08110	sspH	177
BSU37820	spsK	849
BSU23020	recS	1488
BSU16530	uppS	780
BSU06670	gatC	288
BSU06230	iolT	1419
BSU18530	yoaA	495
BSU32250	thrC	1056
BSU20030	yosR	240
new_2095786_2095916_c	S735	131
BSU05960	ydiG	510
BSU06490	purF	1428
new_3681277_3681369	S1375	93
new_3672793_3672923	S1370	131
BSU35609	tuaA/1	147
new_3217011_3217663	S1193	653
BSU08770	ygzA	201
BSU27640	yrvC	495
BSU_misc_RNA_7	BSU_misc_RNA_7	
new_2028580_2028675_c	S691	96
BSU22330	ypoC	492
new_649828_649902	S208	75
new_463491_463901	S136	411
BSU10290	yhfN	1278
BSU03130	nadE	816
BSU40770	tetB	1374
BSU27160	yrhJ	3162
BSU32520	pucG	1248
BSU04860	ydcQ	1440
	csfG	121
BSU06090	ydiR	939
BSU20210	yorY	180
new_930737_930817	S294	81
BSU22450	cca	1191
BSU29650	dgcP	1737
BSU29250	nrnA	939
new_4082846_4082919_c	S1525	74
BSU25410	rpsU	171
new_3137969_3138320_c	S1173	352
new_3385447_3385618_c	S1268	172
new_2736849_2736914	S1006	66
new_1151069_1151165_c	S384	97
BSU22670	trpD	1014
BSU31230	tlpB	1986
BSU05190	ydeG	1290
BSU10470	yhjD	360
BSU_rRNA_22	rrnD-16S	
new_2158288_2158723_c	S766	436
BSU24100	bkdR	2076
BSU08390	bstA	534
new_4140222_4140497_c	S1550	276
BSU22220	yprA	2247
BSU33740	yvaV	540
BSU37700	bacE	1182
BSU19610	yodI	249
BSU35700	tagH	1581
BSU15190	mraY	972
new_17453_17533	S10	81
new_347670_349525_c	S117	1856
BSU32540	yurI	864
BSU33370	yvgK	924
BSU11940	yjcP	501
BSU20940	yopC	1326
BSU03990	mtlD	1098
BSU23910	yqjE	1113
BSU06120	ydjB	333
new_3542806_3542942_c	S1316	137
BSU06048	ydzU	270
BSU03500	comS	138
BSU22620	hisC	1080
new_4018701_4018785_c	S1508	85
BSU10640	sbcD	1173
BSU16230	fliH	624
BSU_tRNA_70	trnB-Asn	
BSU16740	spoVFB	600
BSU09980	yhaI	339
BSU11300	med	951
BSU39870	yxbD	477
BSU35350	yvyC	327
new_64001_64098	S35	98
new_1569320_1569425	S548	106
BSU35320	fliT	339
BSU40450	yycD	198
BSU33450	helD	2322
new_3224669_3224824_c	S1198	156
BSU00610	yabQ	633
BSU13770	ykvO	744
BSU02350	gamP	1893
BSU09530	yhdN	993
new_1249889_1250015_c	S420	127
BSU01935	skfC	1488
BSU21850	ypiP	516
BSU23270	ribE	645
BSU03900	gabT	1308
BSU01780	glmS	1800
new_2282285_2283135_c	S814	851
BSU31470	kapD	615
BSU28830	ysdB	390
BSU26619	yrzO	141
new_2968641_2968771_c	S1094	131
new_4021307_4021428_c	S1510	122
BSU28500	trxA	312
BSU03410	yckE	1431
BSU02450	glnL	942
BSU01740	rsiW	624
BSU23770	dsdA	1344
new_1891565_1891743_c	S633	179
BSU30290	amyC	828
BSU00690	ftsH	1911
new_621545_621613_c	S201	69
new_3076630_3076728	S1152	99
BSU19840	yotL	240
new_2074312_2074438	S723	127
BSU30135	yteP	963
BSU10100	hmoB	498
BSU33020	cssS	1353
new_2288083_2288193	S817	111
new_2713135_2713319_c	S992	185
BSU34650	yvdC	318
BSU31140	yubC	483
BSU37050	maeA	1746
BSU37500	speE	828
new_2734144_2734373_c	S1003	230
BSU21240	yomS	354
BSU27510	yrvO	1137
BSU_tRNA_9	trnA-Ala	
BSU04390	ydbA	816
BSU39410	nupC	1179
new_1030069_1030171_c	S330	103
BSU18490	rtp	366
BSU34800	cwlO	1419
BSU06839	phrH	171
new_1374025_1374396	S467	372
BSU13799	ykzR	249
BSU30420	ytrE	693
BSU13100	ykkD	315
new_1074350_1074613_c	S353	264
BSU14390	fruK	909
BSU28940	serB	780
BSU32200	yutJ	990
BSU10360	yhfT	1437
BSU10820	yisQ	1365
BSU08920	yhbB	933
BSU26580	bltR	819
BSU02210	ybfH	918
BSU21270	yomP	189
new_3645297_3645378_c	S1355	82
BSU27390	yrrK	414
BSU27520	cymR	333
BSU30630	rppH	474
new_53363_55717_c	S31	2355
BSU18010	yneN	510
BSU31910	yukE	240
BSU12810	xlyA	891
BSU09640	yhdY	1113
BSU18980	yobJ	840
new_3604568_3604754_c	S1336	187
new_1252061_1252565_c	S422	505
BSU27890	nadR	534
new_826720_827251	S259	532
BSU32140	paiB	621
BSU13660	kinD	1518
BSU08670	ygaB	342
BSU16040	rplS	354
BSU24510	yqhO	873
BSU01630	feuA	951
new_3996377_3996599	S1495	223
new_2477758_2477958_c	rpmGC	201
BSU15780	cpgA	894
BSU05290	ydeP	384
BSU37670	hemQ	762
BSU08790	thiC	1770
new_2208781_2208854_c	S786	74
BSU15570	cysH	699
BSU03250	ycgR	882
BSU08440	yfiY	975
new_1945655_1945976_c	S677	322
BSU18620	yoaI	1125
BSU40940	yyaD	1014
BSU37630	ywfM	888
new_2708789_2708942_c	S989	154
BSU00260	yaaN	1158
BSU10890	yisX	636
BSU37100	murAB	1287
BSU19880	yotH	171
BSU38018	ywzG	336
BSU05130	ydeB	459
BSU_tRNA_37	trnD-Tyr	
new_2756227_2756311	S1017	85
BSU05409	ydzQ	141
BSU34280	epsJ	1032
BSU32810	yusI	354
BSU32310	yutD	306
BSU01970	skfG	411
BSU01200	rpsS	276
BSU03981	mtlA	1434
BSU06330	yeaC	960
BSU34220	epsO	966
new_928316_928388	S291	73
BSU03760	yclK	1419
BSU24910	yqgM	1077
BSU32420	pucR	1593
BSU25850	yqzI	156
BSU30980	glgB	1881
BSU00580	yabN	1467
BSU30550	metK	1200
BSU02680	lmrA	564
new_635022_635109	S204	88
BSU37520	ywhD	516
new_2528267_2528403_c	S917	137
BSU07735	yflB	390
BSU06880	yesF	858
BSU38410	sacX	1377
BSU29890	ytnP	768
new_285988_286047	S99	60
BSU13190	ispA	957
BSU18900	yozJ	453
BSU10220	gltT	1287
new_2565921_2566988	S930	1068
BSU34100	rsbQ	807
BSU01360	secY	1293
new_1903330_1903490	S645	161
BSU17300	ebrA	315
BSU06900	cotJB	300
new_376667_376967	S126	301
BSU04490	ydbJ	924
BSU09140	yhcM	453
new_1872092_1872751_c	S622	660
BSU_tRNA_79	trnE-Arg	
new_2678579_2679086_c	bsrH	508
BSU10680	gerPE	399
BSU11790	yjcA	354
BSU32430	pucJ	1347
BSU03150	aroK	558
BSU_misc_RNA_29	BSU_misc_RNA_29	
BSU14560	defB	552
BSU28920	lytT	723
BSU18050	yneQ	297
new_1038543_1038616	S334	74
new_3217848_3218524	S1194	677
BSU09060	yhcF	363
BSU36350	ywpD	834
BSU23440	spoVAA	600
BSU02660	ycbU	1110
BSU18480	proH	891
BSU14730	ylaC	519
BSU26670	gltR	888
BSU24370	spoIIIAG	687
BSU03000	opuAC	879
new_2655000_2655301_c	S972	302
BSU09180	yhcQ	651
new_1035397_1035553	S333	157
BSU00720	yacD	891
BSU03790	thrD	1362
BSU21150	yonB	1014
BSU19110	yobW	543
BSU16050	rbgA	846
BSU06520	purH	1536
BSU11490	yjbC	576
BSU_tRNA_38	trnD-Trp	
new_3028103_3029246_c	S1123	1144
BSU38370	glxA	378
BSU32320	yutC	630
BSU35600	tuaB	1449
new_935441_935588_c	S296	148
new_3813168_3813245_c	S1443	78
BSU37260	narJ	552
BSU03800	fpbN	948
BSU06650	sapB	696
BSU38950	yxjH	1020
BSU19660	yozD	174
BSU13970	ykwD	771
new_2123802_2124020	S751	219
BSU13120	proB	1095
BSU21490	sunI	315
BSU40990	noc	849
BSU10620	addB	3498
BSU37430	albG	699
BSU11929	yjzG	171
BSU00340	yabB	741
BSU17100	pksC	864
BSU40780	tetL	60
new_2320214_2320354_c	S835	141
BSU31319	yuzI	261
BSU18150	xynC	1266
new_121686_121918	S51	233
new_2054085_2054544_c	S709	460
BSU20740	yopW	333
BSU27420	yrrI	1059
BSU31279	yuzH	252
new_2678724_2678943	S978	220
BSU31000	yuaI	519
BSU13299	ykzO	210
BSU16750	asd	1038
BSU24580	yqhH	1671
BSU40500	rplI	447
BSU24240	recN	1728
BSU36470	pucI	1470
BSU13060	ykjA	729
new_525021_528076_c	S166	3056
BSU07520	fecC	945
new_325190_325277_c	S107	88
BSU34840	yvcB	1908
BSU40820	yyaL	2067
new_3730846_3730971_c	S1394	126
BSU37790	rocG	1272
BSU14010	cheV	909
BSU30595	ytlA	1002
new_1525061_1525238_c	S529	178
BSU05770	ydhI	480
BSU12290	ndh	1176
new_2740743_2740894	S1009	152
BSU11100	nprB	1614
